Placement Year,Retrieval Year,YearsDecaying,Stand ID,Site ID,ADR Station ID,Placement,Humus Depth (cm),Buried Depth (cm),% Mass Lost
2004,2005,1,BM,B,02,B,31,16,10.2
2004,2005,1,RM,A,12,B,999,999,38.2
2004,2005,1,SB,A,12,B,999,999,9.6
2005,2006,1,BM,A,02,B,999,999,999.0
2005,2007,2,CL,B,08,B,999,999,999.0
999,2007,1,BM,B,5,B,999,999,999.0
2006,2007,1,CFR,A,6,B,999,999,999.0
999,2007,1,CL,A,4,B,999,999,999.0
999,2007,1,CL,A,5,B,999,999,999.0
999,2007,1,CL,A,6,B,999,999,999.0
999,2007,1,NCL,B,5,B,999,999,999.0
999,2007,1,RM,A,2,B,999,999,999.0
999,2007,1,RM,A,4,B,999,999,999.0
999,2007,1,RM,A,5,B,999,999,999.0
